avg temperature,max temp,min temp,rain,rain type,snow depth,snow type,sun hours,avg wind,max wind,gust,date
"4,8","5,8",,"1,9",ri,"['sl', '0']",0,"0,0","6,8","7,4","18,7",2019-12-01
"8,4","10,0","5,6","1,4",ri,0,0,"0,0","5,3","11,4","16,2",2019-12-02
"5,4","9,8","3,8","7,8",sl,0,4,"0,0","3,2","10,1","13,9",2019-12-03
"-0,7","4,1","-2,1","7,2",sn,0,4,"0,0","1,4","8,8","13,8",2019-12-04
"-2,5","2,2","-4,6","4,7",,4,4,"2,3","2,6","7,8","10,4",2019-12-05
"-2,5","0,2","-5,6","0,0",,8,4,"2,5","4,5","5,6","15,6",2019-12-06
"-1,2","0,9","-5,9","0,0",,5,4,"0,0","2,8","8,5","13,0",2019-12-07
"-1,3","3,5","-6,0","0,0",sn,6,2,"3,7","4,0","8,5","14,6",2019-12-08
"0,0","1,5","-3,9","1,1",sl,5,2,"0,0","6,8","8,0","26,0",2019-12-09
"-0,6","1,8","-1,9","7,1",sn,0,4,"0,0","7,4","13,6","23,1",2019-12-10
"-1,6","-0,5","-2,6","1,6",,0,4,"0,0","3,6","14,2","12,9",2019-12-11
"-2,9","-0,2","-5,3","0,0",,10,4,"3,3","3,2","6,7","9,5",2019-12-12
"-6,8","-1,6","-10,8","0,0",,11,4,"0,6","2,5","5,7","9,8",2019-12-13
"-6,7","-5,3","-10,2","0,0",,9,4,"3,0","2,0","6,3","11,0",2019-12-14
"-1,8","1,3","-10,0","0,0",,10,4,"2,1","2,8","6,3","12,0",2019-12-15
"-0,1","4,5","-3,5","0,0",,10,4,"0,2","4,2","6,5","13,0",2019-12-16
"-0,3","1,4","-2,5","0,0",,9,4,"2,9","2,8","7,4","10,4",2019-12-17
"-0,5","1,5","-3,5","0,0",,10,4,"1,2","2,8","5,7","12,1",2019-12-18
"0,5","1,7","-1,9","0,0",sn,9,4,"0,8","3,5","5,7","15,7",2019-12-19
"3,0","4,8","0,1","0,2",,9,4,"0,0","3,8","8,4","18,1",2019-12-20
"2,6","4,5","-0,3","0,0",,9,4,"0,0","3,2","8,0","18,4",2019-12-21
"1,0","2,3","-0,1","0,0",,8,4,"0,0","0,7","9,1","2,5",2019-12-22
"0,4","2,8","-0,8","0,0",sn,8,4,"0,0","1,0","1,8","8,6",2019-12-23
"0,6","1,2","-0,4","0,6",sl,8,4,"0,0","2,6","4,9","7,8",2019-12-24
"0,2","2,4","-0,2","0,2",sn,9,4,"0,0","5,1","4,7","15,1",2019-12-25
"2,4","3,9","-2,8","0,1",ri,9,0,"0,0","3,7","8,2","13,4",2019-12-26
"5,3","7,0","3,0","10,6",ri,9,0,"0,0","2,5","8,0","7,9",2019-12-27
"3,6","5,7","1,7","8,8",ri,0,0,"0,0","3,7","4,6","15,1",2019-12-28
"3,1","5,3","2,1","11,2",sl,0,0,"0,5","2,3","9,7","9,6",2019-12-29
"1,6","2,6","-0,6","0,1",,0,0,"0,0","5,0","5,5","15,6",2019-12-30
