avg temperature,max temp,min temp,rain,rain type,snow depth,snow type,sun hours,avg wind,max wind,gust,date
"-1,2","3,7","-3,5","0,0",,sl0,0,"0,0","4,6","10,4","21,0",2022-01-01
"-4,7","-2,9","-5,4","0,0",,0,2,"3,3","2,8","6,3","10,9",2022-01-02
"-4,0","-1,5","-6,0","0,0",,0,2,"2,6","3,4","5,4","8,6",2022-01-03
"-4,7","-3,0","-7,4","0,0",,0,0,"0,0","9,1","16,1","26,8",2022-01-04
"2,5","4,1","-3,4","0,0",sl,0,0,"0,0","9,6","18,6","30,4",2022-01-05
"3,6","5,8","1,6","33,2",sl,0,2,"0,0","5,7","9,8","17,6",2022-01-06
"1,5","3,5","0,7","4,6",sn,0,0,"0,0","5,6","12,5","21,5",2022-01-07
"4,6","6,6","0,9","1,0",,0,0,"1,3","6,5","14,9","25,5",2022-01-08
"3,5","7,1","1,1","0,0",ri,0,0,"0,0","5,0","13,4","23,4",2022-01-09
"2,4","6,8","0,7","24,2",sl,0,0,"0,0","7,6","12,7","22,7",2022-01-10
"2,7","4,3","1,1","4,9",sl,0,2,"0,0","8,0","12,6","22,5",2022-01-11
"1,8","3,2","-0,3","5,8",sn,0,4,"0,0","8,0","14,2","21,7",2022-01-12
"1,2","3,0","-1,3","2,2",sl,3,2,"0,6","4,6","8,6","17,6",2022-01-13
"3,3","7,1","0,7","1,3",sl,0,0,"0,0","5,5","8,6","15,5",2022-01-14
"0,4","7,2","-2,2","9,6",sl,0,2,"0,5","4,4","10,6","19,2",2022-01-15
"2,3","6,1","-2,6","1,8",sl,0,0,"0,0","7,7","9,5","17,1",2022-01-16
"6,3","6,9","5,9","6,9",ri,0,0,"0,0","5,6","9,0","14,0",2022-01-17
"2,1","6,9","0,5","8,9",sl,0,2,"0,3","2,4","6,4","11,1",2022-01-18
"-1,6","2,6","-2,7","2,0",ri,0,0,"0,0","5,5","8,8","16,2",2022-01-19
"6,1","8,0","-3,1","0,2",ri,0,0,"0,0","9,8","15,8","24,4",2022-01-20
"5,0","9,3","1,8","3,4",sl,0,2,"0,6","7,8","14,4","22,9",2022-01-21
"1,3","6,2","-0,8","3,8",sn,0,4,"0,0","7,6","12,6","20,7",2022-01-22
"-0,9","1,4","-2,9","1,4",sl,3,4,"0,2","4,6","10,5","18,0",2022-01-23
"2,2","2,6","-2,4","1,3",sl,3,0,"0,0","9,4","17,0","25,6",2022-01-24
"2,7","6,1","0,9","4,9",sl,0,0,"0,0","1,7","3,5","5,4",2022-01-25
"-0,8","1,9","-1,5","4,2",sn,0,4,"0,0","3,9","8,2","14,4",2022-01-26
"1,4","2,9","-3,2","2,0",sl,2,0,"0,0","6,9","10,0","16,8",2022-01-27
"0,0","5,5","-1,6","9,9",sl,0,0,"0,0","3,3","7,6","13,2",2022-01-28
"-1,7","0,8","-5,6","0,2",sl,0,2,"2,0","7,8","13,6","23,0",2022-01-29
"-1,3","1,8","-3,9","2,7",,0,4,"0,1","5,010,0","8,818,1","16,9",2022-01-30
