avg temperature,max temp,min temp,rain,rain type,snow depth,snow type,sun hours,avg wind,max wind,gust,date
"5,0","5,4","-7,5","0,2",sn,0,4,"0,9","4,2","5,7","7,5",2021-04-01
"-5,3","-3,9","-9,2","1,0",sn,7,2,"4,2","3,2","4,2","11,7",2021-04-02
"-5,7","-0,6","-6,4","6,5",,6,0,"0,1","2,7","7,1","20,7",2021-04-03
"-3,4","1,1","-4,5","0,0",sn,0,0,"9,9","4,1","11,8","17,9",2021-04-04
"-1,9","1,0","-4,5","0,1",sl,0,0,"6,9","8,2","10,4","15,3",2021-04-05
"-3,8","1,3","-5,6","3,3",,0,0,"2,3","6,8","9,3","17,4",2021-04-06
"-2,2","6,6","-6,8","0,0",,0,0,"0,0","4,0","10,0","15,0",2021-04-07
"-0,6","4,0","0,0","0,0",,0,0,"1,5","5,6","8,9","10,7",2021-04-08
"3,0","9,9","3,2","0,0",ri,0,0,"0,1","4,4","6,6","7,8",2021-04-09
"5,6","10,6","2,8","0,4",ri,0,0,"7,7","2,9","4,6","12,7",2021-04-10
"6,2","10,7","4,8","8,8",sl,0,0,"5,0","3,0","8,1","13,4",2021-04-11
"7,1","9,2","6,2","2,3",sl,0,2,"6,6","4,5","8,7","10,6",2021-04-12
"8,5","9,3","2,5","2,2",sl,0,0,"0,0","4,0","7,2","11,9",2021-04-13
"5,8","6,9","2,1","1,3",sn,0,0,"0,0","5,4","6,9","5,6",2021-04-14
"4,4","6,2","0,3","0,9",,0,0,"0,3","3,0","3,5","5,4",2021-04-15
"2,6","5,0","-1,1","0,0",ri,0,0,"0,0","1,8","3,7","9,6",2021-04-16
"1,6","6,5","-0,8","0,2",ri,0,0,"6,5","1,8","5,6","5,1",2021-04-17
"2,5","7,0","1,9","0,8",ri,0,0,"15,0","3,6","3,4","11,6",2021-04-18
