avg temperature,max temp,min temp,rain,rain type,snow depth,snow type,sun hours,avg wind,max wind,gust,date
"0,7","3,5","-0,7","-0,415,8",sl,24,4,"6,4","5,4","14,5","23,6",2022-03-01
"3,5","5,4","-1,4","5,2",sl,17,4,"0,1","7,8","7,6","14,8",2022-03-02
"2,0","4,2","1,8","10,1",sl,13,4,"6,1","2,9","7,7","13,0",2022-03-03
"1,3","3,0","-2,2","3,0",sl,15,4,"0,2","2,2","13,6","20,5",2022-03-04
"3,1","6,0","0,7","0,8",sl,14,4,"0,0","5,8","7,2","12,4",2022-03-05
"0,3","6,3","-0,7","27,6",sl,13,4,"6,4","4,0","6,0","9,4",2022-03-06
"-0,1","1,4","-2,0","0,3",sl,13,4,"1,3","2,2","13,8","23,0",2022-03-07
"4,0","6,2","-0,4","13,9",ri,13,2,"1,9","7,6","9,0","15,4",2022-03-08
"2,0","4,9","0,4","10,6",sl,0,2,"1,6","3,9","10,9","19,3",2022-03-09
"3,7","5,9","-0,3","4,4",sl,0,2,"0,5","5,2","12,1","18,4",2022-03-10
"5,7","7,0","4,9","7,1",sl,0,2,"5,5","6,9","8,0","15,4",2022-03-11
"2,1","5,2","0,6","2,7",sn,0,2,"5,1","4,8","7,6","13,6",2022-03-12
"1,1","3,6","-1,5","0,9",sl,0,0,"4,7","3,8","16,7","30,7",2022-03-13
"3,5","7,1","1,0","1,7",sl,0,2,"0,4","11,2","11,2","21,3",2022-03-14
"-0,2","5,3","-1,6","27,9",sn,0,4,"2,3","6,9","9,2","15,3",2022-03-15
"-2,4","-0,7","-3,2","7,6",sn,8,4,"1,1","4,3","14,6","23,6",2022-03-16
"-1,2","1,6","-3,6","3,8",sn,10,4,"2,9","9,6","12,0","19,6",2022-03-17
"-0,2","1,9","-2,5","1,4",sn,10,4,"0,4","3,7","6,1","9,7",2022-03-18
"1,1","4,0","-0,5","1,7",sl,11,4,"0,0","1,9","7,2","11,3",2022-03-19
"1,5","4,2","0,2","20,4",sn,8,4,"6,4","2,2","6,0","10,8",2022-03-20
"2,8","4,6","-0,7","0,1",sl,11,2,"0,0","3,8","5,4","8,6",2022-03-21
"6,2","7,3","3,7","7,0",ri,0,0,"0,0","2,2","7,2","11,9",2022-03-22
"5,7","8,3","3,7","6,0",ri,0,0,"0,8","4,2","6,4","10,9",2022-03-23
"4,6","7,2","3,2","3,9",sl,0,0,"2,8","3,4","10,9","18,9",2022-03-24
"4,3","6,0","1,1","1,7",ri,0,0,"0,0","6,7","9,7","15,8",2022-03-25
"6,7","8,2","4,6","9,0",sl,0,2,"0,0","6,4","6,4","10,8",2022-03-26
"2,6","7,5","0,0","14,8",,0,0,"0,0","3,4","7,6","12,8",2022-03-27
"3,4","4,7","2,9","0,0",ri,0,0,"0,0","5,5","5,3","9,1",2022-03-28
"2,7","5,2","1,6","0,1",,0,0,"3,1","3,9","4,2","7,3",2022-03-29
"2,3","4,5","0,2","0,0",,0,0,"0,0","2,8","2,916,5","4,6",2022-03-30
