avg temperature,max temp,min temp,rain,rain type,snow depth,snow type,sun hours,avg wind,max wind,gust,date
"7,6","9,6","3,2","7,3",ri,0,0,"2,9","3,4","5,0","10,8",2022-06-01
"7,2","10,7","5,2","0,1",,0,0,"10,3","2,9","6,4","12,2",2022-06-02
"7,4","12,4","9,9","0,0",ri,0,0,"13,5","3,8","7,0","11,4",2022-06-03
"9,3","15,2","8,1","0,3",,0,0,"11,2","4,2","7,1","12,8",2022-06-04
"12,1","13,2","8,9","0,0",,0,0,"0,0","4,7","8,1","17,0",2022-06-05
"10,7","17,7","8,0","0,0",,0,0,"5,2","4,6","8,9","16,6",2022-06-06
"12,2","17,9","7,9","0,0",ri,0,0,"8,6","5,0","8,8","10,8",2022-06-07
"12,7","16,3","8,4","1,9",ri,0,0,"7,5","5,3","6,5","8,7",2022-06-08
"10,4","12,2","7,7","1,1",ri,0,0,"5,2","4,2","5,4","14,2",2022-06-09
"9,5","12,0","7,3","1,3",ri,0,0,"12,9","2,8","8,8","13,3",2022-06-10
"10,6","12,3","7,0","2,2",ri,0,0,"1,5","4,6","8,2","14,7",2022-06-11
"8,8","13,4","6,3","2,8",,0,0,"9,9","3,7","8,3","13,0",2022-06-12
"9,5","12,7","8,0","0,0",ri,0,0,"1,1","5,2","7,5","13,9",2022-06-13
"9,8","12,2","8,2","0,1",ri,0,0,"0,9","4,8","8,4","13,5",2022-06-14
"9,4","13,5","8,6","17,2",,0,0,"11,7","4,7","7,5","6,6",2022-06-15
"10,2","11,9","8,5","0,0",ri,0,0,"15,3","3,8","3,8","8,9",2022-06-16
"9,9","12,0","6,0","14,2",ri,0,0,"15,8","1,9","4,6","10,2",2022-06-17
"9,7","11,8","6,6","5,6",,0,0,"5,2","2,2","5,3","6,3",2022-06-18
