avg temperature,max temp,min temp,rain,rain type,snow depth,snow type,sun hours,avg wind,max wind,gust,date
"12,4","16,4","9,4","0,7",ri,0,0,"['0,0']","1,9","3,5","5,7",2021-07-01
"12,4","15,9","10,0","0,0",,0,0,"0,0","1,8","3,0","4,6",2021-07-02
"11,7","14,4","10,2","0,0",,0,0,"14,0","1,6","3,9","6,2",2021-07-03
"10,4","12,9","9,2","0,0",,0,0,"15,0","1,5","4,0","5,9",2021-07-04
"10,9","12,7","8,7","0,0",,0,0,"5,9","2,8","3,0","5,0",2021-07-05
"10,2","12,3","9,0","0,0",,0,0,"4,4","3,3","5,2","8,3",2021-07-06
"11,7","13,3","9,3","0,0",,0,0,"0,0","3,5","5,1","7,7",2021-07-07
"13,3","16,7","11,4","0,0",,0,0,"0,1","4,8","5,4","9,0",2021-07-08
"13,2","18,0","10,8","0,0",,0,0,"0,0","3,8","7,1","11,9",2021-07-09
"12,9","16,1","11,8","0,0",,0,0,"3,4","2,9","6,8","11,0",2021-07-10
"12,1","14,0","11,6","0,0",,0,0,"4,3","5,9","5,4","8,9",2021-07-11
"10,3","13,9","8,7","0,1",ri,0,0,"0,4","4,7","9,8","15,9",2021-07-12
"9,5","11,5","8,4","0,8",ri,0,0,"0,1","4,3","6,7","11,5",2021-07-13
"10,3","13,6","8,2","2,5",ri,0,0,"1,4","4,9","6,9","11,9",2021-07-14
"10,2","13,1","8,8","0,1",ri,0,0,"0,6","4,3","9,0","15,6",2021-07-15
"9,5","12,6","9,1","0,9",ri,0,0,"0,9","2,1","6,0","9,9",2021-07-16
"8,7","9,9","7,6","0,8",ri,0,0,"2,2","1,2","3,3","5,4",2021-07-17
"10,0","12,8","7,9","0,0",,0,0,"4,4","1,5","2,8","4,1",2021-07-18
"10,9","13,4","9,9","1,2",ri,0,0,"0,0","2,8","3,2","5,3",2021-07-19
"12,1","14,7","10,1","1,7",ri,0,0,"6,5","3,3","5,1","8,4",2021-07-20
"13,0","14,4","12,4","0,1",ri,0,0,"0,7","4,0","5,8","9,7",2021-07-21
"13,2","14,4","12,5","3,7",ri,0,0,"5,7","3,8","7,5","12,4",2021-07-22
"11,3","13,3","10,2","1,2",ri,0,0,"0,0","3,8","4,9","9,4",2021-07-23
"9,9","13,2","8,2","1,1",ri,0,0,"0,0","6,2","5,7","9,8",2021-07-24
"10,1","12,4","8,2","9,8",ri,0,0,"0,3","4,4","10,6","19,0",2021-07-25
"12,3","15,3","9,1","0,9",ri,0,0,"1,9","1,9","6,6","12,6",2021-07-26
"14,1","18,4","8,3","0,1",ri,0,0,"2,8","1,8","6,2","10,9",2021-07-27
"15,7","20,9","10,4","0,0",,0,0,"9,9","1,5","4,5","7,4",2021-07-28
"15,3","18,9","13,4","0,0",,0,0,"11,2","1,5","2,6","4,8",2021-07-29
"13,213,7","18,010,2","11,40,8","0,0ri",,0,['0'],"9,8","1,8","3,2","5,0",2021-07-30
