avg temperature,max temp,min temp,rain,rain type,snow depth,snow type,sun hours,avg wind,max wind,gust,date
"8,9","12,9","7,6","0,1",,ri0,0,"['8,9']","2,8","4,2","6,5",2022-07-01
"10,5","12,9","8,6","0,0",,0,0,"8,9","3,9","4,2","7,5",2022-07-02
"9,5","12,8","7,6","0,0",,0,0,"0,3","2,3","6,0","10,3",2022-07-03
"11,3","15,3","8,0","0,0",,0,0,"9,2","2,2","3,7","6,6",2022-07-04
"12,1","15,9","10,4","0,0",ri,0,0,"12,6","3,7","3,8","5,9",2022-07-05
"9,6","12,6","9,2","4,7",ri,0,0,"0,0","8,7","8,1","13,8",2022-07-06
"9,8","12,3","8,3","6,1",ri,0,0,"2,8","3,7","11,3","18,4",2022-07-07
"11,2","15,1","8,2","1,5",ri,0,0,"0,0","5,6","7,2","11,0",2022-07-08
"11,3","14,7","9,4","3,3",ri,0,0,"8,1","3,4","9,1","15,7",2022-07-09
"11,8","15,0","9,7","2,0",ri,0,0,"1,3","3,2","5,7","11,0",2022-07-10
"10,0","13,3","9,1","0,8",ri,0,0,"0,5","4,7","5,2","9,5",2022-07-11
"9,3","13,0","7,0","0,1",,0,0,"1,4","3,0","7,9","13,4",2022-07-12
"9,5","12,4","7,2","0,0",ri,0,0,"9,9","2,1","5,9","8,7",2022-07-13
"10,0","12,3","6,0","0,9",,0,0,"10,8","3,3","4,0","6,2",2022-07-14
"10,7","13,6","9,3","0,0",ri,0,0,"12,7","2,8","7,0","13,0",2022-07-15
"10,2","12,6","8,4","6,0",ri,0,0,"1,0","2,1","6,2","12,5",2022-07-16
"11,1","12,9","8,8","0,5",,0,0,"2,5","1,3","4,3","7,2",2022-07-17
"12,0","14,6","9,8","0,0",ri,0,0,"6,0","2,2","2,8","4,3",2022-07-18
"11,6","14,8","9,9","0,8",,0,0,"0,0","3,9","4,0","6,7",2022-07-19
"11,2","13,9","9,0","0,0",,0,0,"4,4","1,8","6,2","9,8",2022-07-20
"11,8","14,4","10,6","0,0",ri,0,0,"16,6","1,8","3,3","5,5",2022-07-21
"10,9","13,7","10,2","3,2",ri,0,0,"0,0","2,1","3,9","5,9",2022-07-22
"10,4","14,0","8,6","2,4",,0,0,"0,2","2,2","4,0","6,5",2022-07-23
"9,9","11,8","8,4","0,0",ri,0,0,"3,8","1,9","4,2","7,2",2022-07-24
"11,2","14,6","8,3","1,5",ri,0,0,"1,7","2,7","3,7","5,7",2022-07-25
"11,5","12,6","10,9","0,4",ri,0,0,"1,4","4,2","6,0","9,2",2022-07-26
"8,9","11,2","7,6","25,9",ri,0,0,"1,2","3,9","6,2","11,0",2022-07-27
"10,0","13,2","7,2","6,9",ri,0,0,"0,0","3,9","6,2","11,0",2022-07-28
"9,5","12,7","6,3","1,7",,0,0,"0,8","3,4","7,6","12,8",2022-07-29
"10,114,7","12,610,6","7,8","0,0",,0,['0'],"7,1","3,3","5,7","10,3",2022-07-30
