avg temperature,max temp,min temp,rain,rain type,snow depth,snow type,sun hours,avg wind,max wind,gust,date
"7,3","9,1","4,1","1,7",sl,0,0,",4","2,2","6,5","6,2",2023-04-01
"7,2","8,8","1,0","7,1",ri,0,0,"9,4","2,9","4,1","5,9",2023-04-02
"4,8","7,3","2,4","9,5",ri,0,0,"0,0","1,8","4,0","10,0",2023-04-03
"3,8","8,9","6,1","3,5",ri,0,0,"11,2","1,5","6,4","19,7",2023-04-04
"6,5","9,5","6,4","14,3",ri,0,0,"7,1","3,7","11,8","16,6",2023-04-05
"7,8","9,5","2,3","0,5",ri,0,0,"13,1","6,4","10,2","12,9",2023-04-06
"6,9","9,2","2,2","6,0",,0,0,"11,7","5,6","7,9","11,7",2023-04-07
"5,2","6,9","1,4","0,0",ri,0,0,"0,3","5,3","6,2","9,6",2023-04-08
"3,2","7,5","-1,7","0,3",,0,0,"2,7","2,7","6,4","6,5",2023-04-09
"3,8","7,0","0,6","0,0",,0,0,"0,0","3,2","4,1","6,8",2023-04-10
"3,6","10,2","1,3","0,0",ri,0,0,"0,0","2,1","4,1","7,2",2023-04-11
"5,4","11,2","5,7","11,1",ri,0,0,"3,9","2,0","4,3","7,3",2023-04-12
"6,5","11,2","7,4","1,0",ri,0,0,"9,3","2,5","4,0","9,1",2023-04-13
"8,4","11,4","8,8","5,9",,0,0,"0,4","2,3","5,6","10,7",2023-04-14
"9,1","11,0","8,6","0,0",,0,0,"12,0","2,9","6,2","9,9",2023-04-15
"9,5","12,0","6,8","0,0",ri,0,0,"5,0","3,9","6,0","8,8",2023-04-16
"9,5","12,0","4,1","1,0",ri,0,0,"11,3","4,7","5,3","8,3",2023-04-17
"8,1","10,7","3,5","6,5",ri,0,0,"3,2","2,7","4,6","13,6",2023-04-18
