avg temperature,max temp,min temp,rain,rain type,snow depth,snow type,sun hours,avg wind,max wind,gust,date
,"6,8",,"1,1",ri,ri0,0,"['4,3']","2,3","5,7","9,2",2023-03-01
"6,0","7,6","4,8","0,0",,0,0,"4,3","1,9","5,4","8,7",2023-03-02
"4,3","7,8","2,5","0,0",,0,0,"0,0","1,4","3,5","4,9",2023-03-03
"3,7","5,8","1,8","0,1",ri,0,0,"4,9","2,2","3,4","4,9",2023-03-04
"1,5","5,0","1,5","0,0",,0,0,"1,2","3,3","4,9","9,0",2023-03-05
"-4,1","1,5","-5,6","0,0",,0,0,"0,6","5,5","7,8","12,5",2023-03-06
"-5,7","-3,6","-6,8","0,1",sn,0,0,"9,0","3,8","8,9","15,8",2023-03-07
"-5,3","-1,6","-8,8","0,0",,0,0,"4,3","3,4","6,7","11,7",2023-03-08
"-4,5","-0,4","-8,0","0,0",,0,0,"9,7","3,6","6,4","10,6",2023-03-09
"-8,7","-1,9","-9,3","0,0",,0,0,"7,3","4,3","6,7","12,2",2023-03-10
"-10,4","-7,3","-14,8","0,0",,0,0,"10,5","4,8","7,4","12,2",2023-03-11
"-8,2","-5,7","-10,3","0,0",,0,0,"10,3","5,4","8,0","14,6",2023-03-12
"-7,0","-3,0","-9,6","0,0",,0,0,"10,8","5,6","9,4","18,7",2023-03-13
"-7,0","-3,7","-8,4","0,0",,0,0,"10,3","3,3","8,8","16,2",2023-03-14
"-6,9","-2,9","-11,5","0,0",,0,0,"10,5","2,6","5,3","10,3",2023-03-15
"-3,4","1,4","-7,5","0,0",,0,0,"11,3","1,8","4,6","6,7",2023-03-16
"-2,8","2,6","-6,4","0,0",,0,0,"9,5","2,4","3,5","5,7",2023-03-17
"-1,6","1,8","-5,0","0,2",sn,0,0,"7,6","2,8","5,0","9,8",2023-03-18
"-3,5","0,6","-7,3","0,0",,0,0,"5,6","5,7","5,4","9,2",2023-03-19
"-0,3","2,7","-3,7","0,0",,0,0,"11,1","7,5","8,3","14,5",2023-03-20
"1,1","3,5","-1,5","0,1",sn,0,0,"10,5","3,8","10,3","19,6",2023-03-21
"1,7","4,2","-0,5","0,0",,0,0,"1,1","2,6","7,8","14,8",2023-03-22
"-0,4","2,7","-3,7","0,0",,0,0,"2,5","2,4","6,3","10,0",2023-03-23
"-1,3","1,8","-3,8","0,0",,0,0,"5,6","2,2","5,1","8,8",2023-03-24
"-1,0","2,2","-4,9","0,0",,0,0,"11,1","3,3","4,8","7,0",2023-03-25
"-1,5","1,7","-3,2","0,0",,0,0,"8,7","2,6","7,0","11,3",2023-03-26
"-2,2","1,2","-6,9","0,0",,0,0,"10,1","5,7","5,4","8,6",2023-03-27
"0,5","3,1","-3,3","0,1",sn,0,0,"12,1","6,6","8,0","14,5",2023-03-28
"3,4","6,7","-0,2","0,1",ri,0,0,"6,1","4,0","10,6","18,0",2023-03-29
"5,5","8,1","3,4","3,0ri",,0,['0'],"0,0","3,1","7,8","14,0",2023-03-30
