avg temperature,max temp,min temp,rain,rain type,snow depth,snow type,sun hours,avg wind,max wind,gust,date
"3,9","4,3","-0,5","0,0",ri,0,0,",8","4,1","5,6","8,9",2019-11-01
"2,4","2,8","-0,5","0,1",ri,0,0,"0,0","3,5","5,5","9,9",2019-11-02
"0,4","2,7","0,7","1,1",sl,0,0,"0,0","1,2","6,1","21,5",2019-11-03
"1,4","4,1","1,7","8,1",ri,0,0,"0,0","1,7","12,6","13,5",2019-11-04
"2,7","5,1","2,0","0,9",ri,0,0,"5,5","5,1","7,8","8,1",2019-11-05
"3,5","5,0","3,2","14,4",sl,0,0,"4,2","3,0","5,0","23,2",2019-11-06
"3,9","7,2","1,1","13,4",sl,0,0,"0,0","2,8","12,7","19,5",2019-11-07
"5,8","6,7","2,3","1,9",,0,2,"1,0","7,6","11,6","11,3",2019-11-08
"4,1","4,6","-0,8","0,0",ri,0,2,"3,3","7,8","6,8","11,5",2019-11-09
"2,7","3,2","-4,2","8,9",sl,0,4,"0,0","3,8","7,2","9,4",2019-11-10
"0,5","2,3","-2,2","8,7",sl,0,0,"0,0","3,7","5,6","5,9",2019-11-11
"-1,1","5,7","-0,1","3,3",sl,3,0,"2,4","2,2","3,5","5,9",2019-11-12
"3,1","4,4","-1,5","0,1",ri,0,0,"0,0","1,6","3,4","5,9",2019-11-13
"1,7","3,7","-1,6","1,3",ri,0,0,"0,7","0,6","3,9","4,0",2019-11-14
"0,1","4,3","3,7","0,7",ri,0,0,"0,0","1,0","2,7","4,9",2019-11-15
"3,0","6,0","3,6","0,1",ri,0,0,"1,8","1,2","3,0","5,0",2019-11-16
"4,9","5,5","2,7","1,8",ri,0,0,"4,0","1,0","3,6","4,3",2019-11-17
"4,3","7,1","4,8","0,6",,0,0,"4,7","1,4","2,8","5,4",2019-11-18
