avg temperature,max temp,min temp,rain,rain type,snow depth,snow type,sun hours,avg wind,max wind,gust,date
"10,6","13,4","9,6","2,0",ri,ri0,0,"['0,0']","3,5","4,7","8,0",2020-08-01
"9,9","13,5","9,3","1,5",,0,0,"0,0","2,2","5,7","9,2",2020-08-02
"10,0","12,6","8,4","0,0",ri,0,0,"2,1","1,8","4,0","6,3",2020-08-03
"10,6","13,4","8,9","0,2",ri,0,0,"2,4","4,4","3,1","5,3",2020-08-04
"10,8","14,1","8,9","18,9",ri,0,0,"0,0","4,0","7,8","12,0",2020-08-05
"9,7","12,8","9,5","0,7",ri,0,0,"0,9","3,6","6,6","11,5",2020-08-06
"9,9","11,8","7,7","9,7",ri,0,0,"5,0","3,2","5,6","9,9",2020-08-07
"12,5","15,1","10,1","2,2",ri,0,0,"0,5","6,4","5,5","9,5",2020-08-08
"12,4","14,1","11,8","2,9",ri,0,0,"0,2","5,1","8,2","15,7",2020-08-09
"11,9","12,9","11,4","1,0",ri,0,0,"0,2","4,5","7,6","13,0",2020-08-10
"10,5","13,0","8,2","2,3",ri,0,0,"0,5","2,8","7,1","12,0",2020-08-11
"10,6","11,6","10,4","10,0",ri,0,0,"0,0","4,0","4,9","9,4",2020-08-12
"11,0","14,6","7,9","0,1",ri,0,0,"6,6","3,4","6,3","11,3",2020-08-13
"13,0","17,4","9,7","22,4",ri,0,0,"0,0","3,3","5,1","7,5",2020-08-14
"14,3","20,5","10,9","1,1",ri,0,0,"11,7","4,3","5,5","9,5",2020-08-15
"14,1","17,1","13,1","0,1",,0,0,"2,7","1,8","7,0","11,0",2020-08-16
"13,7","18,9","11,2","0,0",,0,0,"9,0","1,7","3,6","5,6",2020-08-17
"10,3","17,1","9,6","0,0",ri,0,0,"6,5","2,3","4,4","6,8",2020-08-18
"11,7","15,6","8,7","0,2",ri,0,0,"10,0","1,8","4,6","6,7",2020-08-19
"12,3","18,0","6,2","6,2",,0,0,"0,0","2,0","3,4","6,0",2020-08-20
"10,3","16,9","5,4","0,0",,0,0,"10,0","1,9","5,4","9,7",2020-08-21
"10,8","15,3","7,4","0,0",,0,0,"14,2","1,1","4,2","6,9",2020-08-22
"10,0","14,0","5,2","0,0",,0,0,"14,7","1,0","2,8","4,0",2020-08-23
"9,7","14,0","5,1","0,0",,0,0,"12,9","1,4","2,5","4,0",2020-08-24
"9,2","11,6","8,1","0,0",,0,0,"13,4","1,8","3,1","5,3",2020-08-25
"9,8","11,2","8,9","0,0",,0,0,"11,9","2,9","3,2","5,2",2020-08-26
"9,8","11,2","8,0","0,0",ri,0,0,"0,9","3,6","6,2","9,2",2020-08-27
"11,0","13,6","8,8","3,2",ri,0,0,"1,6","2,6","5,0","9,4",2020-08-28
"12,3","13,4","11,0","3,6",ri,0,0,"0,6","6,1","4,4","7,7",2020-08-29
"12,215,7","14,211,3","11,2","2,2",,0,['0'],"1,6","4,0","10,2","18,3",2020-08-30
